Parameter Name,Increment,Range Min,Range Max
Q_A_RAT_PIT_FLTD,1,5,100
Q_A_RAT_YAW_FLTT,1,1,50
Q_A_RAT_YAW_FLTE,1,0,20
Q_A_RAT_YAW_FLTD,1,5,50
Q_LOIT_ANG_MAX,1,0,45
Q_LOIT_ANG_MAX,1,0,45
Q_LOIT_SPEED,50,20,3500
Q_LOIT_ACC_MAX,1,100,981
Q_LOIT_BRK_ACCEL,1,25,250
Q_LOIT_BRK_JERK,1,500,5000
Q_LOIT_BRK_DELAY,0.1,0,2
Q_M_YAW_SV_ANGLE,1,5,80
Q_M_SPOOL_TIME,0.1,0.05,2
Q_M_SLEW_UP_TIME,0.001,0,.5
Q_M_SLEW_DN_TIME,0.001,0,.5
Q_M_SAFE_TIME,0.001,0,5
Q_M_SPOOL_TIM_DN,0.001,0,2
Q_P_ACC_XY_FILT,0.1,0.5,5
Q_P_ACC_XY_FILT,0.1,0.5,5
Q_P_ACCZ_FLTT,1,1,50
Q_P_ACCZ_FLTE,1,1,100
Q_P_ACCZ_FLTD,1,1,100
Q_P_VELXY_IMAX,10,0,4500
Q_P_ANGLE_MAX,1,0,45
Q_P_JERK_XY,1,1,20
Q_P_JERK_Z,1,5,50
Q_TILT_RATE_UP,1,10,300
Q_TILT_MAX,1,20,80
Q_TILT_RATE_DN,1,10,300
Q_TILT_WING_FLAP,1,0,15
Q_WP_SPEED,50,20,2000
Q_WP_SPEED,50,20,2000
Q_WP_RADIUS,1,5,1000
Q_WP_SPEED_UP,50,10,1000
Q_WP_SPEED_DN,10,10,500
Q_WP_ACCEL,10,50,500
Q_WP_ACCEL_Z,10,50,500
Q_WP_ACCEL_C,10,0,500
Q_WVANE_ANG_MIN,0.1,0,10
Q_WVANE_HGT_MIN,1,0,50
Q_WVANE_SPD_MAX,0.1,0,50
Q_WVANE_VELZ_MAX,0.1,0,5
RC10_MIN,1,800,2200
RC10_MIN,1,800,2200
RC10_TRIM,1,800,2200
RC10_MAX,1,800,2200
RC11_MIN,1,800,2200
RC11_MIN,1,800,2200
RC11_TRIM,1,800,2200
RC11_MAX,1,800,2200
RC12_MIN,1,800,2200
RC12_MIN,1,800,2200
RC12_TRIM,1,800,2200
RC12_MAX,1,800,2200
RC13_MIN,1,800,2200
RC13_MIN,1,800,2200
RC13_TRIM,1,800,2200
RC13_MAX,1,800,2200
RC14_MIN,1,800,2200
RC14_MIN,1,800,2200
RC14_TRIM,1,800,2200
RC14_MAX,1,800,2200
RC15_MIN,1,800,2200
RC15_MIN,1,800,2200
RC15_TRIM,1,800,2200
RC15_MAX,1,800,2200
RC16_MIN,1,800,2200
RC16_MIN,1,800,2200
RC16_TRIM,1,800,2200
RC16_MAX,1,800,2200
RC1_MIN,1,800,2200
RC1_MIN,1,800,2200
RC1_TRIM,1,800,2200
RC1_MAX,1,800,2200
RC2_MIN,1,800,2200
RC2_MIN,1,800,2200
RC2_TRIM,1,800,2200
RC2_MAX,1,800,2200
RC3_MIN,1,800,2200
RC3_MIN,1,800,2200
RC3_TRIM,1,800,2200
RC3_MAX,1,800,2200
RC4_MIN,1,800,2200
RC4_MIN,1,800,2200
RC4_TRIM,1,800,2200
RC4_MAX,1,800,2200
RC5_MIN,1,800,2200
RC5_MIN,1,800,2200
RC5_TRIM,1,800,2200
RC5_MAX,1,800,2200
RC6_MIN,1,800,2200
RC6_MIN,1,800,2200
RC6_TRIM,1,800,2200
RC6_MAX,1,800,2200
RC7_MIN,1,800,2200
RC7_MIN,1,800,2200
RC7_TRIM,1,800,2200
RC7_MAX,1,800,2200
RC8_MIN,1,800,2200
RC8_MIN,1,800,2200
RC8_TRIM,1,800,2200
RC8_MAX,1,800,2200
RC9_MIN,1,800,2200
RC9_MIN,1,800,2200
RC9_TRIM,1,800,2200
RC9_MAX,1,800,2200
RLL2SRV_TCONST,0.1,0.4,1.0
RLL2SRV_TCONST,0.1,0.4,1.0
RLL2SRV_RMAX,1,0,180
RLL_RATE_FLTT,1,2,50
RLL_RATE_FLTE,1,2,50
RLL_RATE_FLTD,1,0,50
RNGFND1_GNDCLEAR,1,5,127
RNGFND1_POS_X,0.01,-5,5
RNGFND1_POS_Y,0.01,-5,5
RNGFND1_POS_Z,0.01,-5,5
RNGFND2_GNDCLEAR,1,5,127
RNGFND2_POS_X,0.01,-5,5
RNGFND2_POS_Y,0.01,-5,5
RNGFND2_POS_Z,0.01,-5,5
RNGFND3_GNDCLEAR,1,5,127
RNGFND3_POS_X,0.01,-5,5
RNGFND3_POS_Y,0.01,-5,5
RNGFND3_POS_Z,0.01,-5,5
RNGFND4_GNDCLEAR,1,5,127
RNGFND4_POS_X,0.01,-5,5
RNGFND4_POS_Y,0.01,-5,5
RNGFND4_POS_Z,0.01,-5,5
RNGFND5_GNDCLEAR,1,5,127
RNGFND5_POS_X,0.01,-5,5
RNGFND5_POS_Y,0.01,-5,5
RNGFND5_POS_Z,0.01,-5,5
RNGFND6_GNDCLEAR,1,5,127
RNGFND6_POS_X,0.01,-5,5
RNGFND6_POS_Y,0.01,-5,5
RNGFND6_POS_Z,0.01,-5,5
RNGFND7_GNDCLEAR,1,5,127
RNGFND7_POS_X,0.01,-5,5
RNGFND7_POS_Y,0.01,-5,5
RNGFND7_POS_Z,0.01,-5,5
RNGFND8_GNDCLEAR,1,5,127
RNGFND8_POS_X,0.01,-5,5
RNGFND8_POS_Y,0.01,-5,5
RNGFND8_POS_Z,0.01,-5,5
RNGFND9_GNDCLEAR,1,5,127
RNGFND9_POS_X,0.01,-5,5
RNGFND9_POS_Y,0.01,-5,5
RNGFND9_POS_Z,0.01,-5,5
RNGFNDA_GNDCLEAR,1,5,127
RNGFNDA_POS_X,0.01,-5,5
RNGFNDA_POS_Y,0.01,-5,5
RNGFNDA_POS_Z,0.01,-5,5
RSSI_PIN_LOW,0.01,0,5.0
RSSI_PIN_HIGH,0.01,0,5.0
SERVO10_MIN,1,800,2200
SERVO10_MIN,1,800,2200
SERVO10_MAX,1,800,2200
SERVO10_TRIM,1,800,2200
SERVO11_MIN,1,800,2200
SERVO11_MIN,1,800,2200
SERVO11_MAX,1,800,2200
SERVO11_TRIM,1,800,2200
SERVO12_MIN,1,800,2200
SERVO12_MIN,1,800,2200
SERVO12_MAX,1,800,2200
SERVO12_TRIM,1,800,2200
SERVO13_MIN,1,800,2200
SERVO13_MIN,1,800,2200
SERVO13_MAX,1,800,2200
SERVO13_TRIM,1,800,2200
SERVO14_MIN,1,800,2200
SERVO14_MIN,1,800,2200
SERVO14_MAX,1,800,2200
SERVO14_TRIM,1,800,2200
SERVO15_MIN,1,800,2200
SERVO15_MIN,1,800,2200
SERVO15_MAX,1,800,2200
SERVO15_TRIM,1,800,2200
SERVO16_MIN,1,800,2200
SERVO16_MIN,1,800,2200
SERVO16_MAX,1,800,2200
SERVO16_TRIM,1,800,2200
SERVO17_MIN,1,800,2200
SERVO17_MIN,1,800,2200
SERVO17_MAX,1,800,2200
SERVO17_TRIM,1,800,2200
SERVO18_MIN,1,800,2200
SERVO18_MIN,1,800,2200
SERVO18_MAX,1,800,2200
SERVO18_TRIM,1,800,2200
SERVO19_MIN,1,800,2200
SERVO19_MIN,1,800,2200
SERVO19_MAX,1,800,2200
SERVO19_TRIM,1,800,2200
SERVO1_MIN,1,800,2200
SERVO1_MIN,1,800,2200
SERVO1_MAX,1,800,2200
SERVO1_TRIM,1,800,2200
SERVO20_MIN,1,800,2200
SERVO20_MIN,1,800,2200
SERVO20_MAX,1,800,2200
SERVO20_TRIM,1,800,2200
SERVO21_MIN,1,800,2200
SERVO21_MIN,1,800,2200
SERVO21_MAX,1,800,2200
SERVO21_TRIM,1,800,2200
SERVO22_MIN,1,800,2200
SERVO22_MIN,1,800,2200
SERVO22_MAX,1,800,2200
SERVO22_TRIM,1,800,2200
SERVO23_MIN,1,800,2200
SERVO23_MIN,1,800,2200
SERVO23_MAX,1,800,2200
SERVO23_TRIM,1,800,2200
SERVO24_MIN,1,800,2200
SERVO24_MIN,1,800,2200
SERVO24_MAX,1,800,2200
SERVO24_TRIM,1,800,2200
SERVO25_MIN,1,800,2200
SERVO25_MIN,1,800,2200
SERVO25_MAX,1,800,2200
SERVO25_TRIM,1,800,2200
SERVO26_MIN,1,800,2200
SERVO26_MIN,1,800,2200
SERVO26_MAX,1,800,2200
SERVO26_TRIM,1,800,2200
SERVO27_MIN,1,800,2200
SERVO27_MIN,1,800,2200
SERVO27_MAX,1,800,2200
SERVO27_TRIM,1,800,2200
SERVO28_MIN,1,800,2200
SERVO28_MIN,1,800,2200
SERVO28_MAX,1,800,2200
SERVO28_TRIM,1,800,2200
SERVO29_MIN,1,800,2200
SERVO29_MIN,1,800,2200
SERVO29_MAX,1,800,2200
SERVO29_TRIM,1,800,2200
SERVO2_MIN,1,800,2200
SERVO2_MIN,1,800,2200
SERVO2_MAX,1,800,2200
SERVO2_TRIM,1,800,2200
SERVO30_MIN,1,800,2200
SERVO30_MIN,1,800,2200
SERVO30_MAX,1,800,2200
SERVO30_TRIM,1,800,2200
SERVO31_MIN,1,800,2200
SERVO31_MIN,1,800,2200
